,Adrien Rabiot,Eduardo Camavinga,Ibrahima Konaté,Randal Kolo Muani,Marcus Thuram,Aurélien Djani Tchouaméni,Theo Bernard François Hernández,Dayotchanculle Upamecano,Jules Koundé,Hugo Lloris,Kingsley Coman,Raphaël Varane,Youssouf Fofana
Nicolás Hernán Otamendi,0,1,0,1,0,0,0,0,0,0,0,1,0
Ángel Fabián Di María Hernández,0,0,0,3,0,0,0,0,3,0,0,0,0
Cristian Gabriel Romero,0,0,0,0,0,2,0,1,0,1,0,0,0
Rodrigo Javier De Paul,1,0,0,0,0,0,0,0,0,0,0,2,0
Julián Álvarez,1,0,0,0,0,1,1,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,0,6,0,0,0,0,0,0,0,0,0,0,0
Lautaro Javier Martínez,0,0,0,0,0,0,0,2,0,0,0,0,0
Nicolás Alejandro Tagliafico,1,0,0,0,0,0,0,0,0,0,0,0,0
Nahuel Molina Lucero,0,0,0,0,0,0,0,0,0,0,1,0,0
Gonzalo Ariel Montiel,0,3,0,0,0,0,0,0,0,0,0,2,1
Enzo Fernandez,1,1,0,0,1,0,0,2,0,0,0,0,0
Leandro Daniel Paredes,0,1,0,0,0,0,0,0,0,0,0,0,0
Marcos Javier Acuña,0,0,0,0,0,1,0,0,1,0,3,0,0
Alexis Mac Allister,0,0,0,0,0,1,0,0,0,0,0,1,0
Damián Emiliano Martínez,0,0,0,0,0,0,1,1,0,0,0,0,0
Paulo Bruno Exequiel Dybala,0,0,1,0,0,0,0,0,0,0,0,0,0
