,Nicolás Hernán Otamendi,Ángel Fabián Di María Hernández,Cristian Gabriel Romero,Rodrigo Javier De Paul,Lionel Andrés Messi Cuccittini,Nicolás Alejandro Tagliafico,Nahuel Molina Lucero,Gonzalo Ariel Montiel,Enzo Fernandez,Leandro Daniel Paredes,Alexis Mac Allister,Damián Emiliano Martínez
Adrien Rabiot,0,0,0,1,1,0,0,0,0,0,0,0
Eduardo Camavinga,1,0,0,0,0,0,0,0,0,3,0,0
Ousmane Dembélé,1,0,0,0,0,0,0,0,0,0,0,0
Randal Kolo Muani,0,0,0,0,0,2,0,0,3,0,0,0
Marcus Thuram,2,0,0,0,0,0,0,0,0,0,0,0
Aurélien Djani Tchouaméni,0,0,0,0,0,0,1,0,0,1,0,0
Kylian Mbappé Lottin,2,0,1,0,0,0,0,2,3,0,0,0
Theo Bernard François Hernández,0,0,0,1,1,0,0,0,1,0,0,0
Dayotchanculle Upamecano,0,0,0,0,1,0,0,0,0,0,0,0
Kingsley Coman,0,0,0,0,0,1,0,0,0,0,0,0
Olivier Giroud,0,1,1,0,0,0,0,0,0,0,0,0
Raphaël Varane,1,0,0,0,0,0,0,0,0,0,0,0
Youssouf Fofana,0,0,0,0,0,0,0,0,0,0,2,1
