,Alexis Mac Allister,Enzo Fernandez,Gonzalo Ariel Montiel,Julián Álvarez,Lautaro Javier Martínez,Lionel Andrés Messi Cuccittini,Marcos Javier Acuña,Nicolás Alejandro Tagliafico,Rodrigo Javier De Paul,Ángel Fabián Di María Hernández
Alexis Mac Allister,0,0,0,0,0,1,0,1,0,1
Enzo Fernandez,1,0,1,0,1,0,0,0,0,0
Gonzalo Ariel Montiel,0,0,0,0,1,1,0,0,0,0
Julián Álvarez,2,0,0,0,0,1,0,0,1,0
Lautaro Javier Martínez,0,0,0,0,0,1,0,0,0,0
Lionel Andrés Messi Cuccittini,1,2,1,0,2,0,0,0,1,1
Marcos Javier Acuña,0,1,0,0,1,0,0,0,0,0
Nicolás Alejandro Tagliafico,1,0,0,0,0,0,0,0,0,0
Rodrigo Javier De Paul,0,0,0,1,0,3,1,0,0,1
Ángel Fabián Di María Hernández,0,0,0,2,0,2,0,0,2,0
