,Adrien Rabiot,Antoine Griezmann,Dayotchanculle Upamecano,Eduardo Camavinga,Ibrahima Konaté,Jules Koundé,Kingsley Coman,Kylian Mbappé Lottin,Marcus Thuram,Randal Kolo Muani,Raphaël Varane,Theo Bernard François Hernández
Adrien Rabiot,0,0,0,0,0,0,0,1,1,0,0,0
Antoine Griezmann,0,0,0,0,0,0,0,0,0,2,0,0
Dayotchanculle Upamecano,0,0,0,0,0,0,0,0,0,0,0,0
Eduardo Camavinga,1,0,0,0,0,0,0,0,0,0,0,0
Ibrahima Konaté,0,0,0,0,0,0,0,0,0,1,0,0
Jules Koundé,0,0,0,0,0,0,0,0,0,0,1,0
Kingsley Coman,0,0,1,0,0,0,0,0,0,0,0,0
Kylian Mbappé Lottin,1,0,0,0,0,0,0,0,1,1,0,0
Marcus Thuram,0,0,0,0,0,0,0,1,0,0,0,0
Randal Kolo Muani,0,0,0,0,0,0,0,0,0,0,0,0
Raphaël Varane,0,0,0,0,0,0,0,0,0,0,0,0
Theo Bernard François Hernández,0,0,0,0,0,0,0,0,1,0,0,0
