,Ferrán Torres García,Alejandro Balde Martínez,Pedro González López,Sergio Busquets i Burgos,Rodrigo Hernández Cascante,Daniel Olmo Carvajal,Jordi Alba Ramos,Carlos Soler Barragán,Aymeric Laporte,Nicholas Williams Arthuer,Marcos Llorente Moreno,Pablo Martín Páez Gavira,Unai Simón Mendibil
Noussair Mazraoui,0,0,0,0,1,0,0,0,0,0,0,0,0
Nayef Aguerd,0,0,0,0,0,0,1,0,0,0,0,0,1
Achraf Hakimi Mouh,0,0,2,0,2,3,0,0,0,0,0,1,0
Azzedine Ounahi,0,1,1,0,0,0,0,0,0,0,1,0,0
Abdelhamid Sabiri,0,0,0,0,1,0,0,0,0,0,0,0,0
Hakim Ziyech,0,0,1,0,0,0,1,0,0,0,1,1,0
Sofiane Boufal,1,0,0,3,0,0,0,0,0,0,0,0,1
Sofyan Amrabat,0,0,1,0,1,0,0,0,0,0,0,0,0
Romain Saïss,0,0,0,0,0,0,1,0,0,1,1,0,0
Yahia Attiyat allah,0,0,0,0,0,0,0,0,1,0,0,0,0
Youssef En-Nesyri,0,0,1,0,0,0,0,0,1,0,0,0,0
Abdessamad Ezzalzouli,0,0,0,0,1,0,0,1,0,0,0,0,0
