,Noussair Mazraoui,Achraf Hakimi Mouh,Selim Amallah,Azzedine Ounahi,Abdelhamid Sabiri,Hakim Ziyech,Sofiane Boufal,Sofyan Amrabat,Romain Saïss,Jawad El Yamiq,Youssef En-Nesyri,Abdessamad Ezzalzouli,Yassine Bounou
Ferrán Torres García,6,0,0,0,0,0,0,1,0,0,0,0,0
Alejandro Balde Martínez,0,2,0,0,0,0,0,0,0,0,0,0,0
Pedro González López,0,0,0,3,0,0,0,0,0,0,0,0,0
Sergio Busquets i Burgos,0,0,0,0,0,0,0,0,2,0,0,0,1
Rodrigo Hernández Cascante,0,1,0,0,0,0,2,0,1,0,1,0,0
Jordi Alba Ramos,0,1,1,0,0,1,0,0,0,0,0,0,0
Carlos Soler Barragán,0,0,0,0,0,0,0,0,0,2,0,0,0
Aymeric Laporte,0,0,0,0,0,0,0,0,0,2,0,0,0
Marcos Llorente Moreno,0,0,0,0,2,1,0,1,0,0,0,1,0
Pablo Martín Páez Gavira,0,0,1,1,0,0,0,0,0,0,0,0,0
Unai Simón Mendibil,0,1,0,0,0,0,0,1,0,0,0,0,0
