,Abdelhamid Sabiri,Abdessamad Ezzalzouli,Achraf Hakimi Mouh,Azzedine Ounahi,Hakim Ziyech,Nayef Aguerd,Noussair Mazraoui,Sofiane Boufal,Sofyan Amrabat,Walid Cheddira,Youssef En-Nesyri
Abdelhamid Sabiri,0,0,0,0,0,0,0,0,0,0,0
Abdessamad Ezzalzouli,0,0,0,0,0,0,0,0,0,1,0
Achraf Hakimi Mouh,0,1,0,1,0,0,0,0,0,0,1
Azzedine Ounahi,0,0,0,0,0,0,0,0,0,1,0
Hakim Ziyech,0,0,0,0,0,0,0,0,0,0,1
Nayef Aguerd,0,0,0,0,0,0,0,0,0,0,0
Noussair Mazraoui,0,0,0,0,1,0,0,0,0,0,0
Sofiane Boufal,0,0,0,0,0,1,0,0,0,0,1
Sofyan Amrabat,0,0,0,0,0,0,0,0,0,1,1
Walid Cheddira,1,0,0,0,0,0,0,0,0,0,0
Youssef En-Nesyri,0,0,0,0,0,0,0,0,0,0,0
