,Alejandro Balde Martínez,Anssumane Fati,Aymeric Laporte,Carlos Soler Barragán,Daniel Olmo Carvajal,Ferrán Torres García,Jordi Alba Ramos,Marco Asensio Willemsen,Marcos Llorente Moreno,Nicholas Williams Arthuer,Pablo Martín Páez Gavira,Pablo Sarabia García,Pedro González López,Rodrigo Hernández Cascante,Sergio Busquets i Burgos,Unai Simón Mendibil,Álvaro Borja Morata Martín
Alejandro Balde Martínez,0,1,4,0,0,0,0,0,1,0,0,0,7,0,0,0,1
Anssumane Fati,0,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0
Aymeric Laporte,2,0,0,0,7,1,46,1,1,2,3,0,47,59,5,3,0
Carlos Soler Barragán,0,1,6,0,0,1,0,0,3,7,0,0,4,9,4,0,4
Daniel Olmo Carvajal,0,0,2,3,0,2,9,1,0,0,4,0,6,3,3,0,2
Ferrán Torres García,0,0,0,1,0,0,1,2,7,0,2,0,3,4,0,0,0
Jordi Alba Ramos,0,0,21,1,17,2,0,4,0,0,5,0,26,19,6,4,0
Marco Asensio Willemsen,0,0,1,0,6,2,0,0,1,0,0,0,1,2,0,0,0
Marcos Llorente Moreno,1,0,17,2,0,14,1,0,0,11,5,1,3,29,13,1,1
Nicholas Williams Arthuer,0,0,0,4,0,0,0,0,9,0,0,0,0,2,0,0,2
Pablo Martín Páez Gavira,0,0,4,0,2,4,2,1,3,0,0,0,0,4,0,0,0
Pablo Sarabia García,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Pedro González López,9,6,20,3,8,7,27,6,4,0,3,0,0,37,12,0,1
Rodrigo Hernández Cascante,1,3,68,18,2,1,7,4,39,5,7,1,26,0,18,6,3
Sergio Busquets i Burgos,2,2,14,3,2,5,5,3,10,1,4,1,9,8,0,1,3
Unai Simón Mendibil,2,0,8,0,0,0,1,0,3,0,0,0,1,14,2,0,0
Álvaro Borja Morata Martín,0,1,0,0,1,0,1,0,0,2,0,0,2,0,0,0,0
