,Abdelhamid Sabiri,Abdessamad Ezzalzouli,Achraf Hakimi Mouh,Azzedine Ounahi,Hakim Ziyech,Nayef Aguerd,Noussair Mazraoui,Romain Saïss,Selim Amallah,Sofiane Boufal,Sofyan Amrabat,Walid Cheddira,Yahia Attiyat allah,Yassine Bounou,Youssef En-Nesyri
Abdelhamid Sabiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdessamad Ezzalzouli,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Achraf Hakimi Mouh,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
Azzedine Ounahi,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Hakim Ziyech,0,0,5,0,0,0,0,1,0,0,0,2,0,0,0
Nayef Aguerd,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Noussair Mazraoui,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Romain Saïss,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Selim Amallah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofiane Boufal,0,0,0,0,2,1,3,0,0,0,0,0,0,0,1
Sofyan Amrabat,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Walid Cheddira,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yahia Attiyat allah,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Yassine Bounou,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Youssef En-Nesyri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
