,Adrien Rabiot,Antoine Griezmann,Aurélien Djani Tchouaméni,Dayotchanculle Upamecano,Eduardo Camavinga,Hugo Lloris,Ibrahima Konaté,Jules Koundé,Kingsley Coman,Kylian Mbappé Lottin,Marcus Thuram,Olivier Giroud,Randal Kolo Muani,Raphaël Varane,Theo Bernard François Hernández
Adrien Rabiot,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Antoine Griezmann,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Aurélien Djani Tchouaméni,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0
Dayotchanculle Upamecano,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0
Eduardo Camavinga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Lloris,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
Ibrahima Konaté,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jules Koundé,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Kingsley Coman,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kylian Mbappé Lottin,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1
Marcus Thuram,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Olivier Giroud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randal Kolo Muani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raphaël Varane,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Theo Bernard François Hernández,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
