,Alexis Mac Allister,Cristian Gabriel Romero,Damián Emiliano Martínez,Enzo Fernandez,Gonzalo Ariel Montiel,Julián Álvarez,Lautaro Javier Martínez,Leandro Daniel Paredes,Lionel Andrés Messi Cuccittini,Marcos Javier Acuña,Nahuel Molina Lucero,Nicolás Alejandro Tagliafico,Nicolás Hernán Otamendi,Rodrigo Javier De Paul,Ángel Fabián Di María Hernández
Alexis Mac Allister,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Cristian Gabriel Romero,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
Damián Emiliano Martínez,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Enzo Fernandez,1,0,0,0,2,1,1,0,0,1,0,0,0,0,1
Gonzalo Ariel Montiel,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
Julián Álvarez,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Lautaro Javier Martínez,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Leandro Daniel Paredes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lionel Andrés Messi Cuccittini,1,0,0,2,1,2,2,0,0,0,0,0,0,1,5
Marcos Javier Acuña,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Nahuel Molina Lucero,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
Nicolás Alejandro Tagliafico,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Nicolás Hernán Otamendi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rodrigo Javier De Paul,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1
Ángel Fabián Di María Hernández,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0
